domain,registrant
"gallipoli.gov.au","(NSW) Board of Studies NEW SOUTH WALES"
"gana.gov.au","(SA) Government of South Australia"
"gatekeeper.gov.au","Department of Finance"
"gbrmpa.gov.au","Great Barrier Reef Marine Park Authority"
"georgesheights.gov.au","Sydney Harbour Federation Trust"
"geoscience.gov.au","Geoscience Australia"
"gg.gov.au","Office of the Official Secretary to the Governor-General"
"gist.gov.au","Department of Human Services"
"globalalumni.gov.au","Department of Education and Training"
"gold.gov.au","Department of Finance"
"govcms.gov.au","Department of Finance"
"govdex.gov.au","Department of Finance"
"governmentjobs.gov.au","Australian Public Service Commission"
"governorgeneral.gov.au","Office of the Official Secretary to the Governor-General"
"govforge.gov.au","Department of Finance"
"govmetender.gov.au","Department of Finance"
"govshare.gov.au","Department of Finance"
"govspace.gov.au","Department of Finance"
"grants.gov.au","Department of Finance"
"grantslink.gov.au","Department of Infrastructure and Regional Development"
"grdc.gov.au","Grains Research and Development Corporation"
"greenpower.gov.au","(NSW) Trade and Investment, Regional Infrastructure and Services, Department of"
"greenvehicleguide.gov.au","Department of Infrastructure and Regional Development"
"growingupinaustralia.gov.au","Australian Institute of Family Studies"
"gstdistributionreview.gov.au","Department of the Treasury"
"gtrc.gov.au","(WA) Department of Commerce"
"guaranteescheme.gov.au","Reserve Bank of Australia"
"haccmds.gov.au","Department of Social Services"
"harbourtrust.gov.au","Sydney Harbour Federation Trust"
"harmony.gov.au","Department of Social Services"
"harmonyday.gov.au","Department of Social Services"
"harvesttrail.gov.au","Department of Employment"
"hccoombscentre.gov.au","Reserve Bank of Australia"
"hcourt.gov.au","High Court of Australia"
"headlandpark.gov.au","Sydney Harbour Federation Trust"
"health.gov.au","Department of Health"
"healthdata.gov.au","Department of Health"
"healthdirect.gov.au","National Health Call Centre Network Ltd"
"healthemergency.gov.au","Department of Health"
"healthinsite.gov.au","National Health Call Centre Network Ltd"
"healthstarrating.gov.au","Department of Health"
"healthyactive.gov.au","Department of Health"
"healthyworkers.gov.au","Department of Health"
"hearingservices.gov.au","Department of Health"
"heritage.gov.au","Department of the Environment"
"hestandards.gov.au","Tertiary Education Quality and Standards Agency"
"hic.gov.au","Department of Human Services"
"highcommission.gov.au","Department of Foreign Affairs and Trade"
"highcourt.gov.au","High Court of Australia"
"highered.gov.au","Department of Education and Training"
"hihroyalcom.gov.au","Department of the Prime Minister and Cabinet"
"hmac.gov.au","(SA) Health Community and Disability Services Ministerial Council"
"hmasplatypus.gov.au","Sydney Harbour Federation Trust"
"homeinsulationroyalcommission.gov.au","Attorney-General's Department"
"horizonscanning.gov.au","Department of Health"
"hpccc.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"hreoc.gov.au","Australian Human Rights Commission"
"htci.gov.au","Australian Federal Police"
"humanrights.gov.au","Australian Human Rights Commission"
"humanservices.gov.au","Department of Human Services"
"hwa.gov.au","Department of Health"
"hwa2013.gov.au","Department of Health"
"hydro.gov.au","Department of Defence"
"iaa.gov.au","Migration Review Tribunal and Refugee Review Tribunal"
"iap.gov.au","Transport Certification Australia Limited"
"iasc.gov.au","Department of Infrastructure and Regional Development"
"iba.gov.au","Indigenous Business Australia"
"ic.gov.au","Department of Defence"
"ica.gov.au","Australian Communications and Media Authority (ACMA)"
"icc.gov.au","Department of the Prime Minister and Cabinet"
"icl.gov.au","(NSW) Legal Aid Commission of NSW"
"icsm.gov.au","Geoscience Australia"
"idis.gov.au","Department of Health"
"igb.gov.au","Department of Agriculture"
"igis.gov.au","Inspector General of Intelligence and Security"
